tweet_text,topic,char_count
"honestly im thinking all day | happy mothers day, hope today is gentle | so anyway im feeling a little anxious and my schedule is chaos",happy mothers,135
literally i keep saying this morning ... good morning but my body says no ... meanwhile im feeling so done and my playlist is carrying ... meanwhile okayyy ok im done,good morning,166
"ok so im thinking right now. last day, why does time move weird. so anyway im feeling weirdly calm and my vibe is off. plus rip sending good vibes",last day,146
"honestly im thinking past midnight. going bed, brain pls be quiet. and yet im feeling weirdly calm and my schedule is chaos. then again likeeee whateverrrrr",going bed,156
not gonna lie i cant even lately / cant wait for this to finally happen / so anyway im feeling so done and my phone battery is hanging on / plus 😴 im just saying,cant wait,161
"weirdly im thinking today, happy mothers day to everyone showing up with love, and yet 💀 cant make this up",happy mothers,106
"not gonna lie i cant even at like 2am / cant wait, pls hurry up time / so anyway 😴 whateverrrrr — my playlist is carrying",cant wait,121
"ok so i cant decide if these days, cant sleep and i have things to do tomorrow lol, so anyway im feeling so done and my thoughts are loud, but also rip whateverrrrr",cant sleep,164
"yo i cant even these days, getting ready takes 5 minutes or 2 hours, no in-between, either way im feeling in my feels and my room is a mess, for some reason lol pls tell me im not alone",getting ready,185
"yo im still on past midnight — cant sleep, so im just vibing in the dark — plus im feeling burnt out and my thoughts are loud — still 😭 im just saying",cant sleep,150
"ok so i cant even after lunch | happy mothers day, sending extra hugs | so anyway im feeling so done and my room is a mess",happy mothers,122
idk man im thinking tonight. cant wait because ive needed this rip 😭 my vibe is off my room is a mess,cant wait,101
"low key i cant even at like 2am, getting ready and somehow still late, either way im feeling over it and my phone battery is hanging on",getting ready,135
"not gonna lie im still on these days | going bed, tomorrow can wait | for some reason im feeling in my feels and my schedule is chaos | and yet soooo anyone else?",going bed,162
not gonna lie i cant decide if today. cant sleep and my thoughts are doing overtime. but also im feeling weirdly calm and my schedule is chaos,cant sleep,142
"real talk im stuck on lately / good morning, lets pretend i slept / so anyway im feeling a little anxious and my playlist is carrying / meanwhile idkkkk trying again tomorrow",good morning,174
"honestly i cant even these days, good morning to everyone except my alarm, then again im feeling a little anxious and my brain is doing laps",good morning,140
ngl i keep saying all day ... good morning to everyone except my alarm ... meanwhile 💀 im just saying,good morning,101
fr i swear at like 2am / getting ready and somehow still late ... lol ... anyone else? ... whateverrrrr,getting ready,103
